Ticker,Company,Announce_Date, Offer_Price (HKD) ,Completion_Date, Status 
0011.HK,Hang Seng Bank,2025-10-09,155,2026-06-30, Pending 
0973.HK,L'Occitane International S.A.,2024-04-29,34,2024-08-06,Completed
1970.HK,"IMAX China Holding, Inc.",2023-07-12,10,2023-10-10,Withdrawn
0570.HK,China TCM Holdings,2024-02-21,4.6,NA,Withdrawn
0273.HK,Mason Group Holdings,2023-06-11,0.0338,2023-11-13, Completed 
1839.HK,CIMC Vehicles,2024-03-11,7.5,2024-06-03,Completed 
0638.HK,Kin Yat Holdings,2024-06-28,0.72,2024-08-23,Completed
3948.HK,Inner Mongolia Yitai Coal,2023-06-13,17.5,2023-08-11,Completed
3331.HK,Vinda International,2024-03-08,23.5,2024-08-16,Completed
3799.HK,Dali Foods Group,2023-06-27,3.75,2023-08-30,Completed
1230.HK,Yashili International Holdings,2022-05-06,1.2,2023-07-05,Completed
